rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1501822133866982936,,84869,,1501822133,866982936,"""map""",,,1302.78874099,-1750.17310453,-6.08018100204,,0.00500657444501,0.0141075987506,0.583407137286,0.812041884408
1501822133921969890,,85174,,1501822133,921969890,"""map""",,,1302.86896198,-1749.9396763,-6.08489557028,,0.00515828208645,0.0140289262487,0.583245129902,0.812158666641
1501822133951968908,,85487,,1501822133,951968908,"""map""",,,1302.90934173,-1749.80957836,-6.08915885856,,0.00524855820416,0.0140824775246,0.583181376767,0.812202941546
1501822134021971940,,85912,,1501822134,21971940,"""map""",,,1303.00972518,-1749.5097814,-6.09281045731,,0.00519268743489,0.0141712460533,0.582912621656,0.812394662277
1501822134061968088,,86300,,1501822134,61968088,"""map""",,,1303.06363729,-1749.33549235,-6.09470545707,,0.00512127428134,0.0142591025835,0.582790687087,0.812481055525
1501822134121994018,,86769,,1501822134,121994018,"""map""",,,1303.14509797,-1749.07355791,-6.09767694293,,0.00511203018201,0.0144659692011,0.582630292297,0.812592484201
1501822134171973943,,87183,,1501822134,171973943,"""map""",,,1303.21946837,-1748.85993806,-6.10051855896,,0.00499384176732,0.014601319117,0.582438885059,0.812728003822
1501822134221987962,,87609,,1501822134,221987962,"""map""",,,1303.28794588,-1748.64115647,-6.10631048793,,0.00501242185789,0.0148628441349,0.582353444289,0.81278437326
1501822134261986970,,87957,,1501822134,261986970,"""map""",,,1303.34875145,-1748.47163624,-6.10929815187,,0.00513592100577,0.0151211612678,0.582206990812,0.812883751004
1501822134322002887,,88367,,1501822134,322002887,"""map""",,,1303.43099861,-1748.20837483,-6.11384254768,,0.00520719935371,0.0154037611344,0.582121723271,0.812939055842
1501822134371994018,,88782,,1501822134,371994018,"""map""",,,1303.50570039,-1747.99436081,-6.11750596023,,0.00500904967759,0.015543910944,0.581971296006,0.81304532892
1501822134421994924,,89135,,1501822134,421994924,"""map""",,,1303.57468479,-1747.77424759,-6.12324914038,,0.00443575609612,0.0154645644566,0.58189921576,0.813101761166
1501822134467027902,,89520,,1501822134,467027902,"""map""",,,1303.63752655,-1747.57594872,-6.1265110124,,0.00456684626722,0.0154695637294,0.581873257529,0.813119516852
1501822134522000074,,89961,,1501822134,522000074,"""map""",,,1303.71974337,-1747.3391577,-6.13045899608,,0.00468594203061,0.0150898906858,0.581718574377,0.81323664291
1501822134572007894,,90361,,1501822134,572007894,"""map""",,,1303.7890696,-1747.11798339,-6.13411160278,,0.00457857275408,0.0143474589282,0.581638258729,0.81330813538
1501822134622000932,,90720,,1501822134,622000932,"""map""",,,1303.86519413,-1746.9016516,-6.14005672428,,0.00445876473642,0.0137430110527,0.581502431355,0.813416357957
1501822134672002077,,91109,,1501822134,672002077,"""map""",,,1303.93553904,-1746.68003752,-6.1434104093,,0.00453821538348,0.013444882962,0.581478786115,0.813437804028
1501822134772017002,,91915,,1501822134,772017002,"""map""",,,1304.08175194,-1746.24210622,-6.15013501122,,0.00438345055526,0.0132762764737,0.581344840331,0.813537154938
1501822134822022914,,92313,,1501822134,822022914,"""map""",,,1304.15197265,-1746.01937563,-6.15413546937,,0.00453823731436,0.0134274378317,0.581308424563,0.813559846506
